cell viability,Knockdown,PEI Ratio,NP Ratio,PBA Ratio,Score
70.36122448979592,174.28571428571428,56.883865,9.044619,21.126822,-103.92448979591836
71.43877551020408,174.28571428571428,56.81819,8.897564,21.799215,-102.8469387755102
72.51632653061225,174.28571428571428,56.752518,8.750509,22.471607,-101.76938775510203
73.59387755102041,174.28571428571428,56.72108,8.6057205,23.079674,-100.69183673469387
74.67142857142858,174.28571428571428,56.701683,8.459518,23.67486,-99.6142857142857
75.74897959183673,174.28571428571428,57.178284,8.249817,23.622473,-98.53673469387755
76.82653061224491,174.28571428571428,57.856277,8.01938,23.295456,-97.45918367346937
77.90408163265306,174.28571428571428,58.55727,7.7882814,22.93312,-96.38163265306122
78.98163265306123,174.28571428571428,59.258266,7.5571837,22.570784,-95.30408163265305
80.05918367346939,174.28571428571428,59.912136,7.3177814,22.317936,-94.22653061224489
